explored,fetched,tiles,routeTime,setupTime,tileTime,route#
,2529,11,11006.128899931908,3203.850600004196,0,1
,1547,8,7847.612699985504,2104.6190999746323,0,2
,2384,13,9683.559900045395,1534.728700041771,0,3
,1899,11,10152.563300013542,2121.3039000034332,0,4
,991,8,6310.257500052452,2231.4743999242783,0,5
,2645,9,10155.132499933243,2027.803200006485,0,6
,815,13,7310.904199957848,1030.7960000038147,0,7
,551,12,10041.846099972725,1394.0565999746323,0,8
,3281,8,12417.419699907303,2277.9601999521255,0,9
,312,12,2850.4043999910355,483.5972000360489,0,10
,173,8,1668.7661999464035,770.534500002861,0,11
,2263,16,16866.27160000801,1152.1282000541687,0,12
,187,10,2733.1143000125885,850.2888000011444,0,13
,4020,8,9540.211199998856,6879.2634999752045,0,14
